Date;CPI;Annual Inflation Rate;UK CPI;US CPI;EU CPI;Inf Expect (Households);Interest Rate;REER;NEER;Gross Foreign Reserves;Net Foreign Reserves;Interv;Domestic Gov Bonds
Лис.15;186,4;46,5;0,1;0,5;0,1;NaN;22,0;1,00;1,01;12,96203;1,53028;-0,13361461;11,07
Гру.15;187,7;43,3;0,2;0,7;0,2;NaN;22,0;1,02;1,02;13,14796;1,22545;0,091391;10,79
Січ.16;189,4;40,2;0,3;1,4;0,3;21,5;22,0;1,03;1,03;13,29999;1,33583;-0,0743;6,25
Лют.16;188,6;32,7;0,3;1,0;-0,1;20,5;22,0;0,94;0,94;13,44159;1,40398;-0,1588;19,80
Бер.16;190,5;20,9;0,5;0,9;0,0;17,1;22,0;0,92;0,92;13,4895;1,55101;-0,002097;19,42
Кві.16;197,1;9,8;0,3;1,1;-0,2;17,3;19,0;0,95;0,92;12,72151;1,03251;0,675817;18,37
Тра.16;197,3;7,5;0,3;1,0;-0,1;15,5;18,0;0,96;0,93;13,24095;2,32642;0,332693;17,52
Чер.16;196,9;6,9;0,5;1,0;0,1;15,8;16,5;0,97;0,95;13,53657;2,73332;0,429597;16,86
Лип.16;196,8;7,9;0,6;0,8;0,2;16,7;15,5;0,98;0,96;13,9817;3,20953;0,2578;16,51
Сер.16;196,2;8,4;0,6;1,1;0,2;15,2;15,5;0,96;0,94;14,082;3,3519;-0,013398;8,57
Вер.16;199,7;7,9;1,0;1,5;0,4;16,3;15,0;0,93;0,9;14,10363;3,36612;-0,130193;7,89
Жов.16;205,3;12,4;0,9;1,6;0,5;16,3;14,0;0,97;0,92;15,58874;3,84035;0,274485;15,61
Лис.16;209,0;12,2;1,2;1,7;0,6;18,2;14,0;1,03;0,95;15,51451;3,95098;0,08;15,20
Гру.16;210,9;12,4;1,6;2,1;1,1;16,7;14,0;1,02;0,94;15,27087;3,87641;-0,1194;7,74
Січ.17;213,2;12,6;1,8;2,5;1,7;17,1;14,0;0,98;0,9;15,53933;4,22425;-0,078002;15,70
Лют.17;215,3;14,2;2,3;2,7;2,0;15,3;14,0;0,98;0,9;15,44498;4,00788;0,0809;7,41
Бер.17;219,2;15,1;2,3;2,4;1,7;14,9;14,0;0,99;0,9;15,4603;4,06475;0,1283;9,66
Кві.17;221,2;12,2;2,7;2,2;2,0;14,7;13,0;0,99;0,89;15,1233;3,70287;0,402278;14,92
Тра.17;224,0;13,5;2,9;1,9;1,6;11,3;12,5;1,01;0,89;17,17511;4,62897;0,521191;14,45
Чер.17;227,6;15,6;2,6;1,6;1,5;11,4;12,5;1,03;0,9;17,61789;4,95007;0,300211;14,54
Лип.17;228,1;15,9;2,6;1,7;1,5;12,0;12,5;1,03;0,9;17,9712;5,23029;0,0298;9,98
